Value,Options
To be created,Created
Non-native and ornamental hedgerow,Created
Non-native and ornamental hedgerow,Retained
Non-native and ornamental hedgerow,Enhanced
Line of trees,Created
Line of trees,Retained
Line of trees,Enhanced
Line of trees - associated with bank or ditch,Created
Line of trees - associated with bank or ditch,Retained
Line of trees - associated with bank or ditch,Enhanced
Ecologically valuable line of trees,Created
Ecologically valuable line of trees,Retained
Ecologically valuable line of trees,Enhanced
Ecologically valuable line of trees - associated with bank or ditch,Created
Ecologically valuable line of trees - associated with bank or ditch,Retained
Ecologically valuable line of trees - associated with bank or ditch,Enhanced
Native hedgerow,Created
Native hedgerow,Retained
Native hedgerow,Enhanced
Native hedgerow - associated with bank or ditch,Created
Native hedgerow - associated with bank or ditch,Retained
Native hedgerow - associated with bank or ditch,Enhanced
Native hedgerow with trees,Created
Native hedgerow with trees,Retained
Native hedgerow with trees,Enhanced
Native hedgerow with trees - associated with bank or ditch,Created
Native hedgerow with trees - associated with bank or ditch,Retained
Native hedgerow with trees - associated with bank or ditch,Enhanced
Species-rich native hedgerow,Created
Species-rich native hedgerow,Retained
Species-rich native hedgerow,Enhanced
Species-rich native hedgerow - associated with bank or ditch,Created
Species-rich native hedgerow - associated with bank or ditch,Retained
Species-rich native hedgerow - associated with bank or ditch,Enhanced
Species-rich native hedgerow with trees,Created
Species-rich native hedgerow with trees,Retained
Species-rich native hedgerow with trees,Enhanced
Species-rich native hedgerow with trees - associated with bank or ditch,Created
Species-rich native hedgerow with trees - associated with bank or ditch,Retained
Species-rich native hedgerow with trees - associated with bank or ditch,Enhanced
